NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Seth Curry,Phi,G,31.39,35,34.8,72.5,19.1,12.4,71,0.873,230,0.6,190,0.411,0.607,0.634,16.3,3.3,5.3,3.9,17.5,0.74,0.14,1.83,6.8,118.4,108.7
,Stephen Curry,Gol,G,33.83,37,34.9,72.7,32.6,13.1,182,0.918,277,0.484,484,0.384,0.543,0.59,26.8,5.5,8.5,6.1,30,1.43,0.51,3.43,11.1,112.4,100.5
,Anthony Davis,Lal,F-C,28.84,27,35.4,73.7,27.4,9.8,161,0.727,426,0.566,56,0.179,0.531,0.569,23.3,9.9,14.6,2.9,13.6,1.19,2.04,2.22,9.9,112.7,104.7
,Ed Davis,Cle,C-F,32.61,12,9.3,19.4,6.9,17,6,0.167,12,0.75,0,0,0.75,0.649,1.6,3.1,17.8,0.1,1.2,0.25,0.58,0.25,3.4,112.7,88.3
,Terence Davis,Sac,G,24.66,24,16.6,34.7,25.4,11.8,28,0.821,88,0.534,109,0.294,0.482,0.509,8.9,3,9.6,1.1,10.3,0.71,0.38,1.17,7.4,96,101.2
,Gabriel Deck,Okc,F,26.93,7,7.9,16.5,12.5,12.5,0,0,10,0.6,4,0.5,0.643,0.643,2.6,0.9,5.5,0.7,14.4,0.14,0,0.29,6,120.5,112.1
,Dewayne Dedmon,Mia,C,32.42,33,17.2,35.8,15.3,15.8,44,0.75,126,0.571,20,0.6,0.616,0.644,6.5,6.1,19.7,0.9,7.6,0.39,0.45,0.94,7.7,123.7,94.1
,Sam Dekker,Tor,F,27.69,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Javin DeLaurier,Mil,C,20,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,1,18.7,0,0,1,0,0,0,,
,DeMar DeRozan,Chi,G-F,32.43,35,34.8,72.6,31.1,8.7,269,0.851,600,0.51,71,0.352,0.512,0.58,26.2,5.2,8.2,4.8,23.1,0.83,0.34,2.14,10,117,106.2
,Cheick Diallo,Det,F-C,25.33,3,10.2,21.3,16.3,8.6,6,0.833,8,0.375,0,0,0.375,0.517,3.7,4,21.1,0,0,0.33,0,0.33,0,114.7,90.9
,Hamidou Diallo,Det,G,23.45,33,21.9,45.6,20.7,10.6,69,0.609,231,0.571,51,0.275,0.543,0.557,10.5,4.5,11.1,1.4,11.2,1.27,0.39,1.12,7.4,106.6,101.8
,Gorgui Dieng,Atl,C,31.98,28,9.8,20.4,16.1,15.8,21,0.762,36,0.528,40,0.4,0.566,0.598,3.6,3.3,18.3,0.9,13.1,0.29,0.36,0.57,9,120.8,99.7
,Spencer Dinwiddie,Was,G,28.77,32,30.3,63.1,21.3,11.2,108,0.796,203,0.453,163,0.325,0.469,0.519,13.4,4.8,8.6,5.8,28,0.56,0.16,1.63,9.5,110.9,107.3
,Donte DiVincenzo,Mil,G,24.95,4,16.6,34.5,23.7,16.3,13,0.923,8,0,17,0.235,0.24,0.391,6,5.3,16.6,0.5,3.9,0.25,0,1.5,6.1,84.9,102.8
,Luka Doncic,Dal,F-G,22.87,25,34.8,72.5,35.9,16.6,140,0.721,319,0.514,201,0.318,0.5,0.534,24.8,8.2,13,9,47.1,1.16,0.44,4.64,14.1,103.1,100.7
,Luguentz Dort,Okc,G,22.74,36,32.4,67.5,22.7,9.2,120,0.842,228,0.504,275,0.309,0.482,0.527,16.3,4.1,6.4,1.7,8.8,0.94,0.39,1.56,6,102.6,104.9
,Ayo Dosunmu,Chi,G,21.99,34,19.4,40.3,14.1,15.1,32,0.594,109,0.587,57,0.439,0.611,0.616,6.5,2.1,6,1.2,8.8,0.44,0.35,0.94,5.2,110.9,105.1
,Damyean Dotson,Nyk,G,27.69,2,10.3,21.5,8.6,0,0,0,3,0.667,1,0,0.5,0.5,2,1,5.2,0.5,7.1,0,0,0,3.9,112.7,117
,Devon Dotson,Chi,G,22.45,9,8.2,17,16.4,18.2,8,0.625,12,0.667,7,0.286,0.579,0.599,3,0.9,6,1.1,18.7,0.11,0,0.56,7,111.4,101.6
,Sekou Doumbouya,Lal,F,21.05,2,8.2,17.1,30.7,17,4,0.75,6,0.667,2,0.5,0.688,0.717,7,3,19.1,0,0,1.5,1,1,0,117.7,95.2
,Jeff Dowtin,Gol,G,24.68,4,6.9,14.4,11,14.3,0,0,5,0.6,1,0,0.5,0.5,1.5,1.8,13.8,0.8,14.9,0,0.25,0.25,7.5,108.5,99.5
,Jeff Dowtin,Mil,G,24.68,1,3,6.3,14.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,P.J. Dozier,Den,G-F,25.21,18,18.9,39.4,15.4,11,13,0.769,51,0.412,48,0.313,0.439,0.463,5.4,3.5,10.2,1.6,11.8,0.61,0.33,0.72,6.6,99.3,101.9
,Goran Dragic,Tor,G,35.69,5,18,37.4,18.7,2.5,10,1,20,0.45,14,0.286,0.441,0.521,8,2.8,8.4,1.8,14.5,1,0.2,0.2,7.6,122.3,103.6
,Andre Drummond,Phi,C,28.43,34,19.2,40,18,21.5,66,0.561,175,0.531,1,0,0.528,0.544,6.6,9.2,26.4,2,15.5,1.15,1.03,1.65,10.3,112.9,91.9
,Chris Duarte,Ind,G,24.58,34,28.6,59.7,21.3,12,58,0.707,218,0.5,176,0.352,0.513,0.53,13.1,4,7.7,2.1,11.2,1,0.15,1.68,6.7,101.1,108.3
,David Duke Jr.,Bro,G,22.25,10,21.4,44.6,16.1,7.5,15,0.8,47,0.447,20,0.15,0.381,0.428,6.3,4.9,12.1,1.1,6.9,0.7,0.4,0.6,6.1,103.6,100.5
,Kevin Durant,Bro,F,33.29,34,37.4,77.9,31.4,11.4,241,0.892,537,0.568,174,0.362,0.562,0.621,29.8,7.7,10.9,5.8,27.4,0.74,0.97,3.09,11.8,118.5,106.2
,Jaime Echenique,Was,C,24.71,1,3.1,6.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Anthony Edwards,Min,G,20.44,35,35.5,73.9,27.4,13.7,119,0.79,344,0.506,307,0.371,0.53,0.557,22.4,5.5,8.1,3.7,17.5,1.57,0.71,3.2,8.7,105,106.7
,Kessler Edwards,Bro,F,21.43,8,20.2,42.1,16.3,14.8,0,0,28,0.429,24,0.417,0.519,0.519,6.8,4.6,12.1,1.1,7.8,0.63,0.63,1.13,6.4,101,106
,Rob Edwards,Okc,G,24.98,2,5.5,11.4,19.9,20,0,0,0,0,4,0.25,0.375,0.375,1.5,1.5,14,0,0,0,0,0.5,0,59.6,111.6
,CJ Elleby,Por,F-G,21.57,21,8.9,18.5,16.5,14.2,8,0.875,28,0.571,29,0.345,0.544,0.57,3.3,2,12.7,0.4,7.2,0.24,0.05,0.48,6.2,110.4,103.3
,Wayne Ellington,Lal,G,34.12,28,20.7,43.2,12.7,7.5,5,0.8,14,0.571,143,0.392,0.586,0.59,6.7,1.7,4.3,0.8,5.1,0.5,0.07,0.46,4,112.2,111.3
,Joel Embiid,Phi,C-F,27.83,28,33,68.6,34.7,11.1,295,0.814,411,0.499,91,0.385,0.513,0.597,27,10.6,17.8,4.4,23.8,1.11,1.43,2.82,13.1,117.8,100.9
,James Ennis III,Bro,F,31.54,2,6.9,14.3,22.1,0,0,0,5,0.2,2,0.5,0.357,0.357,2.5,2.5,19.3,0,0,0.5,0.5,0,0,91.8,107.8
,James Ennis III,Lac,F,31.54,2,14.1,29.3,21.5,7.3,4,1,7,0.714,4,0.5,0.727,0.784,10,2.5,9.3,0,0,0.5,0.5,0.5,0,144.8,96
,Drew Eubanks,San,F-C,24.95,37,12.7,26.4,17.6,20.5,66,0.758,120,0.533,6,0.167,0.52,0.584,4.9,4,16.2,1.1,11.3,0.32,0.68,1.08,8.8,108.7,99.9
,Tacko Fall,Cle,C,26.09,11,5.3,11.1,13.5,16.6,7,0.286,12,0.417,0,0,0.417,0.398,1.1,2.1,21.1,0.2,4.6,0,0.55,0.27,5.8,91.7,101.4
,Derrick Favors,Okc,F,30.5,30,16,33.3,14.1,3.8,18,0.556,130,0.523,12,0.167,0.5,0.507,5.1,4.6,14.5,0.8,7.7,0.4,0.27,0.2,6.6,114.4,101.4
,Bruno Fernando,Bos,F-C,23.41,12,2.7,5.6,12.2,44.4,0,0,5,0.6,0,0,0.6,0.6,0.5,0.5,9.9,0.1,4.4,0,0.17,0.33,4.3,,
,Dorian Finney-Smith,Dal,F,28.69,39,32.1,66.9,13.9,9.5,47,0.66,131,0.557,201,0.388,0.572,0.583,10.5,4.7,8.1,2,8.9,1.21,0.56,0.95,5.8,117.5,103.3
,Malik Fitts,Uta,F,20,7,5,10.4,13.6,18.2,0,0,5,0,4,0.5,0.333,0.333,0.9,1.4,15.5,0,0,0,0,0.29,0,56.7,100.9
,Malachi Flynn,Tor,G,23.68,26,8.8,18.4,18,8.2,7,0.571,42,0.429,44,0.273,0.419,0.427,2.9,1.1,6.6,1,15.5,0.38,0.12,0.31,6.7,98.1,104.3
,Bryn Forbes,San,G,28.47,38,16.5,34.4,22,10.1,47,0.894,138,0.457,135,0.393,0.522,0.557,8.6,1.6,5,1,8.8,0.39,0.08,0.87,5.8,104.1,110
,Aleem Ford,Orl,F,20,5,14.7,30.6,14.1,16.7,0,0,5,0.8,15,0.133,0.35,0.35,2.8,3,10.9,0.4,3.9,0.2,0,0.8,4.1,67.6,107.4
,Trent Forrest,Uta,G,23.59,30,9.1,19,10.6,35.7,14,0.786,33,0.515,4,0.25,0.5,0.556,1.6,1.4,8.1,1.1,14.7,0.17,0,0.8,5.9,97.1,108.1
,Evan Fournier,Nyk,G-F,29.2,39,28.8,60,21.4,9.6,58,0.741,192,0.453,272,0.386,0.527,0.543,13.6,2.8,5.3,1.8,10.1,0.92,0.23,1.33,5.7,105.4,107.6
,De'Aaron Fox,Sac,G,24.06,39,34.2,71.2,28,12.3,228,0.75,521,0.507,146,0.247,0.477,0.526,20.7,3.7,5.7,5.1,24.5,1.26,0.44,2.77,8.5,104.2,109.1
,Tim Frazier,Orl,G,31.2,10,20,41.6,13,21.7,9,0.556,26,0.269,17,0.353,0.372,0.394,3.7,1.9,5.1,3.3,23.4,0.3,0.1,1.3,5.7,89,106.1
,Enes Freedom,Bos,C,29.65,24,12.8,26.6,15.3,14,20,0.8,79,0.557,4,0.25,0.548,0.583,4.5,5.4,22.6,0.2,2,0.21,0.46,0.63,5.3,121.4,98.3
,Wenyen Gabriel,Bro,F,24.8,1,1.3,2.7,0,,0,0,0,0,0,0,,,0,1,40.8,0,0,0,0,0,0,,
,Wenyen Gabriel,Lac,F,24.8,5,8.4,17.5,15.5,6.8,4,0.5,8,0.375,4,0.25,0.375,0.4,2.2,2.4,15,0.4,6.7,0.2,0.4,0.2,6.1,100.5,86.6
,Daniel Gafford,Was,F-C,23.28,38,22.9,47.8,15.2,13.1,71,0.732,228,0.693,0,0,0.693,0.71,9.7,6.8,16.1,1.1,7.4,0.45,1.76,1.03,7.3,135.6,102.1
,Danilo Gallinari,Atl,F,33.43,30,22.2,46.3,17.8,5.9,65,0.938,111,0.423,116,0.397,0.511,0.573,9.8,4.2,10.1,1.4,8.9,0.47,0.2,0.53,7,120.2,110.4
,Langston Galloway,Bro,G,30.09,4,14.6,30.3,13.4,27.8,0,0,5,0.6,8,0.25,0.462,0.462,3,2,7.3,1.3,11.2,0,0,1.25,5.4,79.3,105.9
,Langston Galloway,Mil,G,30.09,3,16.2,33.7,12.3,7.1,0,0,5,0.2,8,0,0.077,0.077,0.7,3.3,10.8,2.3,17.6,0.33,0,0.33,4.3,55.5,107.6
,Darius Garland,Cle,G,21.96,35,34.3,71.5,25.8,18.1,84,0.905,302,0.54,242,0.38,0.553,0.584,19.4,3,4.8,7.3,34.8,1.29,0.09,3.66,8.8,109.2,105.9
,Marcus Garrett,Mia,G,23.18,12,10.7,22.3,8.7,7.9,5,0.4,17,0.235,4,0.25,0.262,0.28,1.1,1.9,10,0.6,7,0.42,0.25,0.17,4,89.6,97.3
,Usman Garuba,Hou,F,19.85,15,7,14.5,11.3,10.8,2,0.5,11,0.545,13,0.154,0.375,0.382,1.3,2.3,17.7,0.5,10.6,0.47,0.4,0.2,6.5,98.8,104.8
,Luka Garza,Det,C,23.05,26,12.3,25.6,19.7,10.2,42,0.643,75,0.493,39,0.308,0.482,0.517,5.3,3.1,13.4,0.6,7.8,0.31,0.15,0.58,7,110.9,101.9
,Rudy Gay,Uta,F-G,35.41,25,19.9,41.5,19.1,8.6,41,0.805,78,0.5,106,0.377,0.538,0.572,9.2,4.6,12.6,1.1,7.7,0.52,0.28,0.76,7.2,117.1,101.2
,Paul George,Lac,F,31.7,26,35.5,74,34.1,15.1,117,0.88,340,0.482,217,0.323,0.483,0.527,24.7,7.1,10.5,5.5,27.7,2.04,0.38,4.15,11.1,97.6,100
,Taj Gibson,Nyk,F,36.55,25,19,39.7,9.2,17.1,21,0.762,59,0.542,14,0.286,0.521,0.559,3.7,4.6,12.9,0.8,6,0.48,0.88,0.68,5,117.6,98.2
,Josh Giddey,Okc,G,19.26,35,30.6,63.7,21.3,19,47,0.681,274,0.46,132,0.28,0.447,0.463,11.3,7.4,12.3,6.4,33.9,1.06,0.49,2.86,10.6,96.3,105.6
,Shai Gilgeous-Alexander,Okc,G-F,23.51,35,34.9,72.8,29.1,10.1,228,0.825,431,0.48,208,0.279,0.46,0.525,22.2,4.6,6.7,5.2,27.1,0.94,0.74,2.37,9.3,106.7,107.2
,Anthony Gill,Was,F,29.24,16,6.7,14,15,11,12,0.833,20,0.65,7,0.714,0.759,0.79,3.2,1.6,12.6,0.5,11.2,0.06,0.13,0.25,8.2,149.9,97.5
,Freddie Gillespie,Orl,F,20,9,13.2,27.5,11.3,19.3,7,0.429,21,0.429,1,0,0.409,0.419,2.3,4,16.2,0.6,6,0.33,1,0.67,5.4,94.1,98
,Rudy Gobert,Uta,C,29.55,37,32.1,66.8,16.8,14.5,249,0.683,285,0.709,1,0,0.706,0.726,15.5,15.1,25.4,1.1,4.7,0.78,2.27,1.81,7.9,137.3,97.5
,Brandon Goodwin,Cle,G,26.28,3,22.7,47.2,22.2,14.5,8,0.25,19,0.526,7,0,0.385,0.373,7.3,3.7,8.7,4.7,30.3,0.67,0,1.67,8.9,86.5,98.6
,Jordan Goodwin,Was,G,23.22,2,3,6.1,22.6,0,0,0,2,0,1,0,0,0,0,0.5,9.2,0,0,0,0,0,0,,
,Aaron Gordon,Den,F,26.32,36,31.8,66.3,18.9,12.3,111,0.73,268,0.616,109,0.312,0.573,0.602,14.3,5.6,9.8,2.1,10.3,0.61,0.61,1.67,6.9,114.9,107.4
,Eric Gordon,Hou,G,33.05,35,29.1,60.7,20.1,16.4,95,0.737,181,0.541,181,0.436,0.598,0.623,14.4,1.7,3.2,3.4,18.6,0.6,0.46,2.26,6,111,118.6
,Devonte' Graham,Nor,G,26.89,38,31.3,65.3,20.4,10.7,81,0.815,150,0.407,321,0.355,0.493,0.523,13.9,2.5,4.3,4.5,22.1,1.03,0.18,1.61,6.9,108.5,113.1
,Jerami Grant,Det,F,27.84,24,33.2,69.2,26.7,10.3,146,0.849,255,0.455,127,0.331,0.469,0.54,20.1,4.8,7.8,2.6,13.9,1.13,1.13,2.13,7.6,105.7,109
,Hassani Gravett,Orl,G,25.49,8,21.4,44.6,12.3,18.5,4,0.75,12,0.583,26,0.423,0.618,0.629,6.3,2.6,6.5,2.5,17.5,0.63,0.13,1.13,6.4,113.5,108.8
,Danny Green,Phi,G,34.56,28,24.2,50.5,12.3,13.5,8,1,22,0.591,135,0.378,0.57,0.582,6.7,2.6,5.9,1.1,6.5,1.29,0.86,0.89,4.4,107.9,105.6
,Draymond Green,Gol,F,31.86,34,29.9,62.4,14.4,31.5,67,0.597,159,0.604,42,0.286,0.567,0.581,7.9,7.6,13.8,7.4,33.7,1.38,1.21,3.12,10.2,109.7,94.3
,Javonte Green,Chi,G-F,28.47,29,22.2,46.2,10.9,10.7,40,0.8,92,0.543,33,0.364,0.544,0.589,5.8,4.2,10.5,1,5.7,0.83,0.45,0.59,5.2,124.8,102.1
,Jalen Green,Hou,G,19.92,27,30.2,63,23.6,15.2,99,0.818,167,0.485,174,0.322,0.484,0.534,15.2,3,5.5,2.1,11.1,0.59,0.19,2.56,6.1,96.9,116.2
,JaMychal Green,Den,F-C,31.56,35,14.9,31.1,18.5,14.7,42,0.857,91,0.593,76,0.25,0.494,0.542,5.7,3.7,13.5,0.8,7.8,0.69,0.49,0.91,6.9,103.7,94.2
,Jeff Green,Den,F,35.38,36,24.7,51.4,17.2,11.3,93,0.796,176,0.585,88,0.318,0.549,0.597,10.1,3.1,6.8,1.1,6.8,0.28,0.5,1.08,5.3,111.4,104.9
,Josh Green,Dal,G,21.15,25,11.7,24.4,14.3,11.8,17,0.765,60,0.633,15,0.333,0.607,0.63,4.2,2,9.3,1.1,13.9,0.48,0.2,0.44,7.2,125.5,97.2
,Blake Griffin,Bro,F,32.83,30,19,39.5,16,6.6,43,0.721,94,0.489,84,0.214,0.41,0.449,5.9,4.5,12.5,2,14,0.53,0.37,0.47,7.9,106.5,99.7
,Quentin Grimes,Nyk,G,21.68,23,13.5,28.2,16.3,12.2,8,0.625,17,0.412,80,0.375,0.536,0.542,4.7,1.4,5.5,0.9,10.3,0.52,0.17,0.61,5.4,104,105.1
,Kyle Guy,Mia,G,24.42,5,20.3,42.2,18.4,11.8,5,0.8,15,0.6,20,0.45,0.643,0.659,9.8,1.6,4.4,2.6,20.1,0.8,0.2,1,6.8,125.4,102.8
,Rui Hachimura,Was,F,23.93,2,14.4,30,25.7,6,6,0.5,10,0.5,3,0,0.385,0.416,6.5,2.5,9.5,1,10.6,0,0,0.5,7,89.2,109.5
,Tyrese Haliburton,Sac,G,21.87,41,34,70.8,17.7,15.6,68,0.809,263,0.49,194,0.438,0.561,0.583,13.9,3.9,6,6.9,29.9,1.68,0.73,2.2,8.5,116.9,113
,Tyler Hall,Nyk,G,24.8,1,1.9,4,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,R.J. Hampton,Orl,G,20.93,37,19.6,40.7,19.8,15.1,73,0.603,151,0.397,98,0.378,0.464,0.489,7.4,2.9,7.9,2.5,19.9,0.59,0.19,1.35,7.7,96.2,108
,Tim Hardaway Jr.,Dal,G-F,29.83,34,30.7,63.9,21.7,4.8,81,0.741,193,0.472,252,0.333,0.488,0.514,14.5,4,7.1,2.4,12.2,1,0.18,0.71,6.8,106.6,105
,James Harden,Bro,G,32.38,34,36.9,76.8,28.2,20.1,275,0.869,290,0.49,242,0.331,0.492,0.584,22.4,8.1,11.6,9.7,39.1,1.29,0.68,4.82,13.1,111.2,103.4
,Maurice Harkless,Sac,F-G,28.67,28,18.8,39.1,10,14.5,13,0.692,42,0.667,58,0.276,0.52,0.534,4,2.3,6.6,0.5,3.8,0.43,0.54,0.64,3.5,96.8,109.2
,Jared Harper,Nor,G,24.33,2,5.3,10.9,32.6,12.5,0,0,5,0.4,2,0.5,0.5,0.5,3.5,0.5,5.2,1.5,55.7,0,0.5,0.5,10.4,109.3,100.7
,Montrezl Harrell,Was,F-C,27.96,34,25.4,52.8,20.4,9.6,159,0.736,277,0.657,10,0.3,0.65,0.686,14.4,7.3,15.7,2.2,14.1,0.5,0.62,1.12,9.7,136.3,106.1
,Gary Harris,Orl,G,27.33,34,29.3,61,17,11.3,57,0.842,166,0.524,156,0.372,0.54,0.57,11.6,2.4,4.3,1.9,10.3,0.85,0.24,1.29,5.1,109,111.4
,Joe Harris,Bro,G-F,30.35,14,30.2,62.9,14.6,11.2,6,0.833,36,0.417,88,0.466,0.617,0.624,11.3,4,7,1,4.6,0.5,0.14,1.14,4.7,110.3,106.3
,Shaquille Harrison,Bro,G,28.27,2,11.3,23.5,15.3,25,0,0,4,0.5,2,0,0.333,0.333,2,2,9.4,1.5,17.4,0.5,0.5,1,6.4,74.9,97.7
,Tobias Harris,Phi,F,29.49,30,34.7,72.2,24.2,8.8,118,0.856,347,0.507,112,0.295,0.491,0.54,18.4,7.5,12,3.9,18.3,0.53,0.63,1.63,9.4,110.7,106.8
,Isaiah Hartenstein,Lac,C-F,23.69,29,16.4,34.2,17.7,15.1,49,0.653,139,0.662,3,0.667,0.669,0.679,7.7,4.7,14.9,1.9,18.6,0.83,1.28,1,10,131.3,91.4
,Josh Hart,Nor,G,26.86,32,32.9,68.5,16.6,15.7,110,0.755,200,0.605,95,0.337,0.573,0.613,13.2,7.4,12.3,4.4,20.7,0.91,0.34,2,9.2,118.8,105.5
,Udonis Haslem,Mia,F,41.59,8,6.5,13.5,19.9,8.6,3,1,18,0.5,2,0.5,0.525,0.563,3,2.1,18.3,0.3,6.2,0.13,0.13,0.25,7.6,114.5,83.9
,Sam Hauser,Bos,F,24.1,7,4.5,9.4,15.3,0,0,0,0,0,11,0.273,0.409,0.409,1.3,0.6,6.8,0.1,4.5,0.14,0.14,0,3.8,95.5,109.6
,Jaxson Hayes,Nor,C-F,21.64,29,13.7,28.5,18.5,11.1,66,0.773,109,0.596,14,0.286,0.577,0.635,6.7,3.5,14,0.3,4,0.31,0.62,0.66,5.6,123.4,100.8
,Killian Hayes,Det,G,20.46,30,26,54.2,14.4,18.3,29,0.862,115,0.374,87,0.299,0.406,0.44,6.3,3,6.2,3.7,21,1.23,0.4,1.6,6.3,91.9,105.7
,Gordon Hayward,Cha,F,31.81,40,33.2,69.2,21,10.5,142,0.859,342,0.506,185,0.378,0.528,0.575,17,4.8,7.7,3.7,15.8,0.88,0.53,1.73,8.1,114,113.7
,Aaron Henry,Phi,F,22.37,6,2.8,5.9,18.5,28.6,0,0,4,0.25,1,0,0.2,0.2,0.3,0.2,3.2,0,0,0,0.33,0.33,0,,
,Juancho Hernangomez,Bos,F,26.29,18,5.3,11.1,16.9,16.2,9,0.667,9,0.222,18,0.167,0.241,0.307,1.1,1.4,14,0.2,4.2,0.22,0.11,0.33,5.1,73.8,102.1
,Willy Hernangomez,Nor,C-F,27.63,22,15.5,32.4,21,11.9,51,0.706,122,0.557,3,0.667,0.568,0.604,8.1,7,24.5,1.3,13.8,0.36,0.23,0.91,10.8,124,100.1
,Tyler Herro,Mia,G,21.98,34,32.8,68.4,29.9,13,99,0.869,376,0.452,237,0.388,0.502,0.535,20.6,4.9,8.4,3.9,20.5,0.59,0.15,2.88,8.9,102.7,107.7
,Buddy Hield,Sac,G,29.07,43,29.2,60.8,22.7,10,77,0.87,161,0.416,405,0.38,0.527,0.553,15.4,3.8,7,2,10.7,0.91,0.33,1.56,6.7,106.4,110.5
,Haywood Highsmith,Mia,F,25.09,4,10.4,21.7,8.5,0,0,0,1,0,7,0.571,0.75,0.75,3,1.3,6.7,0,0,0,0.25,0,0,153.3,107.3
,George Hill,Mil,G,35.69,33,25.6,53.3,12.1,13,38,0.947,100,0.57,91,0.308,0.518,0.563,7.1,3.2,6.5,2.4,12.6,0.79,0.15,0.94,5.9,116.6,107.4
,Malcolm Hill,Atl,F,26.21,3,15.3,31.9,9.3,0,4,1,3,0.667,5,0.6,0.813,0.871,5.7,2,7.1,0.3,2.9,1.33,0.33,0,3.9,183.6,98.1
,Solomon Hill,Atl,F,30.82,13,10.7,22.3,6.6,4.8,0,0,7,0.143,13,0.154,0.2,0.2,0.6,1.8,8.9,0.9,10.4,0.31,0.15,0.08,3.7,86.8,105.2
,Nate Hinton,Ind,G-F,22.6,2,1.2,2.5,36.3,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,,
,Jaylen Hoard,Okc,F,22.79,1,1.8,3.8,24.1,0,0,0,1,0,0,0,0,0,0,2,56.4,0,0,0,0,0,0,,
,Aaron Holiday,Was,G,25.28,33,16.7,34.8,17.7,14.1,24,0.792,126,0.516,52,0.365,0.525,0.546,6.2,1.6,5.1,1.9,16.8,0.58,0.24,0.94,6.4,103.6,106.2
,Jrue Holiday,Mil,G,31.59,33,33.1,69,24.1,14.8,79,0.709,334,0.554,157,0.382,0.56,0.576,18.4,4.6,7.3,6.7,32.7,1.61,0.61,2.76,10,113.8,105.9
,Justin Holiday,Ind,F-G,32.77,35,28.4,59.2,16,9.9,31,0.839,78,0.5,237,0.354,0.524,0.542,10.2,2.9,5.6,1.6,7.8,0.63,0.26,1.03,5.1,104.8,108.3
,Richaun Holmes,Sac,F,28.24,27,26.1,54.5,16.6,14.2,62,0.806,204,0.696,4,0.5,0.697,0.723,12.6,8.7,17.7,1.3,7.9,0.3,1.04,1.44,8,132.8,102.4
,Rodney Hood,Mil,G-F,29.23,32,16.1,33.6,10.6,5.5,14,0.929,42,0.429,73,0.315,0.457,0.487,3.7,1.9,6.3,0.8,6.6,0.34,0.06,0.22,4.4,108.3,108.7
,Scotty Hopson,Okc,G-F,32.44,1,17.7,36.9,14.7,33.3,0,0,3,0.667,1,0,0.5,0.5,4,1,2.9,1,8.6,0,0,2,3.6,69.3,111.9
,Al Horford,Bos,C-F,35.61,32,29.5,61.4,16.8,10.3,64,0.859,158,0.557,137,0.285,0.497,0.538,10.9,7.6,13.9,3.8,19.2,0.72,1.5,1.16,9.2,116.8,102
,Talen Horton-Tucker,Lal,G,21.13,25,28,58.2,19.5,12.2,56,0.821,173,0.486,82,0.244,0.447,0.49,11,4,7.4,2.8,14,1,0.44,1.56,7.1,98.8,103.6
,Danuel House Jr.,Hou,F-G,28.6,16,14.5,30.3,18.3,17.9,19,0.895,40,0.375,34,0.294,0.405,0.467,4.8,2.7,10.1,1.2,11.8,0.31,0.31,1.13,6.9,88.7,111.4
,Danuel House Jr.,Nyk,F-G,28.6,1,3.4,7.1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Danuel House Jr.,Uta,F-G,28.6,3,17.9,37.2,11.2,7.2,2,1,3,0.333,9,0.444,0.583,0.621,5.3,2.3,7.1,1.7,12.1,0.33,0.33,0.33,6.1,137.4,102.2
,Dwight Howard,Lal,C-F,36.1,31,14.7,30.6,13.5,16.6,60,0.617,86,0.593,8,0.75,0.638,0.652,5.1,5.4,19.3,0.6,5.4,0.74,0.61,0.77,6.9,125.9,95.3
,Markus Howard,Den,G,22.86,16,7.2,15.1,27.5,8.4,8,0.875,16,0.25,46,0.391,0.5,0.527,4.3,0.3,2.4,0.3,6.8,0.38,0,0.38,4,96.9,103.6
